t,hu
29.78,732
29.79,725
29.8,705
29.81,700
29.82,697
29.83,695
29.84,692
29.85,661
29.86,651
29.87,636
29.88,641
29.89,611
29.9,615
29.91,586
29.92,587
29.93,563
29.94,553
29.95,537
29.96,536
29.97,532
29.98,496
29.99,494
30,480
30.01,467
30.02,443
30.03,412
30.04,420
30.05,379
30.06,388
30.07,372
30.08,369
30.09,347
30.1,335
30.11,305
30.12,293
30.13,312
30.14,290
30.15,265
30.16,277
30.17,245
30.18,245
30.19,249
30.2,-408
30.21,-1312
30.22,-857
30.23,-776
30.24,-782
30.25,-829
30.26,-843
30.27,-851
30.28,-877
30.29,-911
30.3,-904
30.31,-913
30.32,-899
30.33,-927
30.34,-920
30.35,-942
30.36,-925
30.37,-944
30.38,-939
30.39,-938
30.4,-922
30.41,-910
30.42,-925
30.43,-903
30.44,-903
30.45,-901
30.46,-891
30.47,-869
30.48,-851
30.49,-848
30.5,-839
30.51,-812
30.52,-804
30.53,-773
30.54,-754
30.55,-738
30.56,-703
30.57,-680
30.58,-654
30.59,-643
30.6,-603
30.61,-602
30.62,-565
30.63,-540
30.64,-532
30.65,-512
30.66,-469
30.67,-443
30.68,-437
30.69,-411
30.7,-397
30.71,-375
30.72,-356
30.73,-326
30.74,-315
30.75,-282
30.76,-267
30.77,-243
30.78,-236
30.79,-210
30.8,-199
30.81,-185
30.82,-177
30.83,-171
30.84,-156
30.85,-142
30.86,-131
30.87,-121
30.88,-109
30.89,-117
30.9,-111
30.91,-93
30.92,-71
30.93,-64
30.94,-72
30.95,-64
30.96,-50
30.97,-41
30.98,-37
30.99,-34
31,-27
31.01,-27
31.02,-26
31.03,-27
31.04,-11
31.05,-2
31.06,11
31.07,0
31.08,3
31.09,2
31.1,2
31.11,1
31.12,-1
31.13,-3
31.14,-2
31.15,3
31.16,2
31.17,0
31.18,5
31.19,1
31.2,-2
31.21,9
31.22,10
31.23,9
31.24,8
31.25,7
31.26,8
31.27,11
31.28,11
31.29,5
31.3,10
31.31,6
31.32,-1
31.33,2
31.34,2
31.35,3
31.36,-2
31.37,7
31.38,6
31.39,3
31.4,6
31.41,8
31.42,12
31.43,15
31.44,9
31.45,10
31.46,8
31.47,15
31.48,13
31.49,13
31.5,8
31.51,11
31.52,4
31.53,-4
31.54,-20
31.55,-12
31.56,14
31.57,36
31.58,53
31.59,66
31.6,192
31.61,475
31.62,387
31.63,387
31.64,422
31.65,462
31.66,481
31.67,513
31.68,541
31.69,557
31.7,592
31.71,611
31.72,628
31.73,667
31.74,696
31.75,715
31.76,718
31.77,715
31.78,713
31.79,719
31.8,721
31.81,699
31.82,699
31.83,681
31.84,671
31.85,678
31.86,675
31.87,653
31.88,636
31.89,625
31.9,629
31.91,602
31.92,599
31.93,579
31.94,567
31.95,544
31.96,510
31.97,503
31.98,481
31.99,493
32,476
32.01,446
32.02,434
32.03,422
32.04,418
32.05,390
32.06,385
32.07,387
32.08,354
32.09,342
32.1,344
32.11,339
32.12,325
32.13,290
32.14,298
32.15,289
32.16,254
32.17,239
32.18,235
32.19,225
32.2,-425
32.21,-1327
32.22,-845
32.23,-784
32.24,-792
32.25,-813
32.26,-829
32.27,-861
32.28,-872
32.29,-884
32.3,-903
32.31,-891
32.32,-932
32.33,-927
32.34,-918
32.35,-923
32.36,-944
32.37,-914
32.38,-941
32.39,-945
32.4,-940
32.41,-934
32.42,-920
32.43,-915
32.44,-899
32.45,-906
32.46,-876
32.47,-871
32.48,-856
32.49,-836
32.5,-819
32.51,-804
32.52,-784
32.53,-761
32.54,-751
32.55,-706
32.56,-701
32.57,-681
32.58,-650
32.59,-636
32.6,-609
32.61,-589
32.62,-579
32.63,-547
32.64,-517
32.65,-489
32.66,-467
32.67,-449
32.68,-432
32.69,-402
32.7,-388
32.71,-365
32.72,-342
32.73,-335
32.74,-299
32.75,-274
32.76,-254
32.77,-239
32.78,-227
32.79,-207
32.8,-194
32.81,-185
32.82,-175
32.83,-170
32.84,-151
32.85,-140
32.86,-131
32.87,-124
32.88,-117
32.89,-113
32.9,-101
32.91,-92
32.92,-81
32.93,-60
32.94,-56
32.95,-44
32.96,-36
32.97,-23
32.98,-23
32.99,-19
33,-17
33.01,-18
33.02,-20
33.03,-15
33.04,-2
33.05,5
33.06,10
33.07,4
33.08,3
33.09,6
33.1,4
33.11,8
33.12,11
33.13,8
33.14,11
33.15,12
33.16,22
33.17,22
33.18,20
33.19,16
33.2,20
33.21,22
33.22,18
33.23,21
33.24,18
33.25,21
33.26,14
33.27,12
33.28,12
33.29,10
33.3,10
33.31,11
33.32,9
33.33,10
33.34,-3
33.35,3
33.36,13
33.37,18
33.38,18
33.39,19
33.4,20
33.41,26
33.42,21
33.43,17
33.44,19
33.45,18
33.46,13
33.47,11
33.48,11
33.49,13
33.5,8
33.51,6
33.52,-2
33.53,-9
33.54,-17
33.55,-9
33.56,16
33.57,47
33.58,61
33.59,70
33.6,193
33.61,497
33.62,398
33.63,407
33.64,428
33.65,456
33.66,487
33.67,510
33.68,534
33.69,565
33.7,580
33.71,605
33.72,623
33.73,645
33.74,666
33.75,690
33.76,692
33.77,700
33.78,681
33.79,682
33.8,691
33.81,682
33.82,691
33.83,669
33.84,639
33.85,644
33.86,627
33.87,606
33.88,625
33.89,581
33.9,590
33.91,545
33.92,532
33.93,487
33.94,497
33.95,470
33.96,454
33.97,450
33.98,441
33.99,390
34,435
34.01,410
34.02,365
34.03,375
34.04,350
34.05,339
34.06,332
34.07,314
34.08,280
34.09,278
34.1,305
34.11,264
34.12,264
34.13,257
34.14,228
34.15,185
34.16,189
34.17,195
34.18,178
34.19,174
34.2,-458
34.21,-1323
34.22,-867
34.23,-785
34.24,-795
34.25,-850
34.26,-827
34.27,-855
34.28,-867
34.29,-897
34.3,-888
34.31,-917
34.32,-909
34.33,-929
34.34,-925
34.35,-930
34.36,-944
34.37,-954
34.38,-956
34.39,-926
34.4,-923
34.41,-920
34.42,-911
34.43,-926
34.44,-909
34.45,-884
34.46,-876
34.47,-859
34.48,-850
34.49,-843
34.5,-832
34.51,-811
34.52,-796
34.53,-776
34.54,-749
34.55,-727
34.56,-719
34.57,-695
34.58,-669
34.59,-647
34.6,-627
34.61,-591
34.62,-568
34.63,-548
34.64,-520
34.65,-494
34.66,-480
34.67,-440
34.68,-419
34.69,-417
34.7,-391
34.71,-367
34.72,-339
34.73,-319
34.74,-308
34.75,-272
34.76,-260
34.77,-247
34.78,-236
34.79,-215
34.8,-201
34.81,-193
34.82,-176
34.83,-162
34.84,-157
34.85,-149
34.86,-141
34.87,-124
34.88,-106
34.89,-98
34.9,-96
34.91,-91
34.92,-70
34.93,-58
34.94,-54
34.95,-44
34.96,-26
34.97,-25
34.98,-26
34.99,-23
35,-25
35.01,-26
35.02,-24
35.03,-16
35.04,-1
35.05,7
35.06,8
35.07,3
35.08,4
35.09,16
35.1,16
35.11,16
35.12,19
35.13,17
35.14,18
35.15,19
35.16,20
35.17,22
35.18,21
35.19,15
35.2,20
35.21,27
35.22,16
35.23,16
35.24,9
35.25,13
35.26,-1
35.27,15
35.28,12
35.29,13
35.3,17
35.31,23
35.32,23
35.33,22
35.34,21
35.35,20
35.36,25
35.37,27
35.38,25
35.39,24
35.4,21
35.41,24
35.42,14
35.43,14
35.44,17
35.45,13
35.46,18
35.47,20
35.48,20
35.49,10
35.5,10
35.51,14
35.52,7
35.53,7
35.54,-2
35.55,6
35.56,31
35.57,53
35.58,70
35.59,74
35.6,201
35.61,492
35.62,396
35.63,405
35.64,422
35.65,459
35.66,478
35.67,511
35.68,530
35.69,565
35.7,586
35.71,615
35.72,629
35.73,645
35.74,654
35.75,675
35.76,699
35.77,674
35.78,656
35.79,649
35.8,643
35.81,654
35.82,655
35.83,629
35.84,616
35.85,621
35.86,594
35.87,605
35.88,587
35.89,576
35.9,579
35.91,585
35.92,556
35.93,551
35.94,530
35.95,520
35.96,499
35.97,482
35.98,456
35.99,451
36,438
